Gender,10th board,10th marks,12th board,12th marks,Stream,Cgpa,Internships(Y/N),Training(Y/N),Backlogs,Innovative Project(Y/N),Communication level,Technical Course(Y/N),codingComptation,Internships,Projects,AMCAT_Total_Marks,Placement(Y/N)?
Female,State Board,96.7,CBSE,70.2,Mechanical Engineering,7.37,No,Yes,No,No,3,Yes,No,1,1,600,Not Placed
Female,WBBSE,96.2,WBCHSE,90.6,Electronics and Communication Engineering,9.35,No,No,No,Yes,4,No,Yes,0,3,536,Not Placed
Male,State Board,97.5,CBSE,69.6,Information Technology,7.84,No,Yes,No,Yes,3,Yes,Yes,1,2,615,Placed
Female,CBSE,96.9,Other state Board,77.6,Computer Science in AIML,7.87,Yes,No,Yes,Yes,2,Yes,Yes,1,1,702,Not Placed
Female,ICSE,99.1,CBSE,62.8,Computer Science and Engineering,9.26,Yes,Yes,No,Yes,1,Yes,Yes,1,2,527,Not Placed
Male,CBSE,85.5,CBSE,86,Computer Science and Engineering,9.2,Yes,No,No,Yes,2,Yes,Yes,0,2,527,Not Placed
Male,State Board,98.2,CBSE,83.4,Computer Science and Engineering,8.83,Yes,Yes,Yes,Yes,2,Yes,No,1,1,708,Not Placed
Male,State Board,79.4,Diploma,82.1,Production Engineering,7.52,Yes,No,No,Yes,3,Yes,Yes,2,1,627,Placed
Male,WBBSE,88,Other state Board,83.2,Computer Science in AIML,7.06,No,No,No,Yes,3,Yes,No,1,1,503,Placed
Female,CBSE,84.3,CBSE,70.9,Civil Engineering,7.34,No,No,No,No,3,Yes,Yes,1,3,604,Not Placed
Male,ICSE,84.1,Other state Board,67.9,Computer Science and Engineering,7.12,No,No,Yes,No,1,No,Yes,2,3,504,Not Placed
Female,State Board,97.8,ISE,95,Computer Science and Engineering,8.87,Yes,Yes,No,Yes,4,Yes,Yes,1,3,503,Not Placed
Male,ICSE,83,CBSE,79.8,Computer Science and Engineering,7.13,Yes,No,No,No,4,Yes,Yes,2,3,574,Not Placed
Female,CBSE,78.5,Other state Board,62,Mechanical Engineering,7.18,Yes,Yes,No,Yes,1,Yes,No,1,1,359,Placed
Male,WBBSE,95.9,CBSE,73.2,Information Technology,9.14,Yes,Yes,Yes,Yes,1,Yes,No,1,1,378,Not Placed
Male,WBBSE,75,Other state Board,68.9,Electronics and Communication Engineering,7.58,No,No,No,Yes,4,Yes,No,0,2,494,Placed
Female,WBBSE,89.8,CBSE,88.6,Computer Science and Engineering,7.66,Yes,Yes,No,Yes,5,Yes,Yes,0,3,449,Placed
Male,ICSE,93.6,WBCHSE,87.6,Computer Science and Engineering,8.92,Yes,No,No,No,3,No,Yes,2,3,581,Not Placed
Male,CBSE,87.4,ISE,80.2,Computer Science and Engineering,7.17,Yes,Yes,No,No,4,Yes,Yes,2,3,459,Not Placed
Female,WBBSE,96.3,CBSE,78,Electrical Engineering,7.51,No,Yes,No,Yes,1,Yes,No,1,2,409,Placed
Male,State Board,82.4,Other state Board,77.3,Mechanical Engineering,8.97,No,Yes,No,Yes,2,Yes,No,2,1,697,Placed
Female,ICSE,87.6,ISE,88.9,Electrical Engineering,8.79,No,No,No,No,4,Yes,No,1,2,527,Not Placed
Male,ICSE,76.9,CBSE,68.2,Electrical Engineering,8.1,Yes,Yes,No,Yes,5,Yes,No,0,1,557,Placed
Male,ICSE,72.8,Other state Board,87.2,Electrical Engineering,7.08,No,No,Yes,No,4,Yes,No,1,1,408,Not Placed
Female,State Board,98.2,CBSE,68.1,Civil Engineering,7.79,No,Yes,No,Yes,1,Yes,No,1,2,496,Placed
Female,WBBSE,89.3,CBSE,71.2,Electronics and Communication Engineering,7.78,Yes,Yes,No,Yes,1,Yes,No,1,1,561,Placed
Male,CBSE,90.2,CBSE,77.2,Civil Engineering,7.22,No,No,No,Yes,1,Yes,Yes,2,3,435,Placed
Female,WBBSE,77.9,CBSE,80.1,Computer Science and Engineering,8.84,Yes,Yes,Yes,No,4,Yes,Yes,1,1,588,Not Placed
Female,WBBSE,98.5,Other state Board,84.2,Computer Science and Engineering,9.37,Yes,No,No,Yes,4,Yes,No,1,2,490,Not Placed
Female,WBBSE,72.2,WBCHSE,93.7,Electronics and Communication Engineering,8.98,Yes,Yes,No,No,5,No,No,0,1,521,Not Placed
Male,ICSE,93.4,ISE,92.2,Computer Science and Engineering,8.85,Yes,No,No,Yes,4,Yes,Yes,2,3,490,Placed
Female,ICSE,85.6,ISE,86.4,Computer Science and Engineering,7.8,Yes,Yes,No,Yes,4,No,No,1,2,735,Not Placed
Male,ICSE,94.6,ISE,79.6,Computer Science in Data Science,9.26,Yes,No,No,Yes,3,Yes,Yes,1,3,549,Placed
Female,WBBSE,79.6,CBSE,74.1,Mechanical Engineering,7.01,No,Yes,No,Yes,5,Yes,Yes,1,2,444,Placed
Male,CBSE,73.8,CBSE,73.4,Civil Engineering,8.87,No,Yes,No,Yes,5,No,No,0,1,632,Not Placed
Female,CBSE,77.8,WBCHSE,94.3,Computer Science and Engineering,9,Yes,Yes,No,No,4,No,No,1,1,428,Not Placed
Male,State Board,77.6,WBCHSE,80.9,Information Technology,7.74,No,No,No,Yes,3,Yes,Yes,1,2,571,Placed
Female,CBSE,71,ISE,67.1,Information Technology,8.48,Yes,Yes,No,Yes,3,Yes,No,1,2,354,Placed
Male,CBSE,94.1,CBSE,66.4,Electronics and Communication Engineering,7.05,No,Yes,Yes,Yes,2,Yes,Yes,2,3,417,Not Placed
Female,ICSE,72.1,CBSE,70.2,Computer Science in AIML,7.16,No,No,No,Yes,2,Yes,Yes,0,3,570,Placed
Female,ICSE,82.6,WBCHSE,67.3,Computer Science and Engineering,7.95,Yes,Yes,No,Yes,3,Yes,Yes,2,3,624,Placed
Male,WBBSE,71.9,WBCHSE,67.4,Electrical and Electronics Engineering,7.88,No,No,No,Yes,1,Yes,Yes,2,3,567,Placed
Female,CBSE,80.5,ISE,74.2,Electronics and Communication Engineering,8.86,Yes,Yes,Yes,Yes,2,Yes,No,0,1,538,Not Placed
Female,State Board,87.2,WBCHSE,80.4,Electronics and Communication Engineering,7.65,Yes,Yes,Yes,No,4,Yes,Yes,2,3,520,Not Placed
Female,CBSE,70.3,Other state Board,79,Computer Science and Engineering,9.34,Yes,Yes,No,Yes,2,Yes,No,1,3,402,Not Placed
Male,State Board,75.2,WBCHSE,82.5,Mechanical Engineering,8.52,No,No,No,No,5,No,No,1,1,478,Not Placed
Male,State Board,78.9,ISE,91.2,Electrical Engineering,8.65,No,Yes,No,Yes,1,Yes,No,1,1,504,Placed
Female,WBBSE,86.3,Other state Board,62.6,Computer Science in AIML,7.1,No,Yes,No,Yes,1,Yes,No,1,1,656,Placed
Female,State Board,96.9,CBSE,89.8,Civil Engineering,7.09,Yes,Yes,Yes,Yes,3,Yes,Yes,1,3,584,Not Placed
Male,ICSE,75.9,CBSE,85.4,Computer Science in AIML,7.64,No,Yes,Yes,Yes,4,Yes,Yes,1,2,374,Not Placed
Female,CBSE,99.6,ISE,81.7,Computer Science and Engineering,8.57,Yes,No,No,No,3,No,No,0,2,582,Not Placed
Female,CBSE,95,CBSE,92.5,Information Technology,7.69,Yes,Yes,No,No,5,Yes,Yes,1,3,511,Not Placed
Female,CBSE,72,CBSE,65.1,Civil Engineering,7.57,No,Yes,Yes,Yes,1,No,Yes,2,3,482,Not Placed
Female,ICSE,88.6,WBCHSE,73.2,Computer Science and Engineering,9.23,Yes,Yes,No,Yes,3,Yes,Yes,1,2,611,Placed
Male,CBSE,80.7,Other state Board,76.1,Computer Science in AIML,9.51,Yes,No,Yes,Yes,1,Yes,No,0,2,653,Not Placed
Male,CBSE,95,CBSE,90,IMsc Maths and Computing,8.15,Yes,No,No,Yes,4,Yes,Yes,2,3,643,Not Placed
Female,State Board,92,Other state Board,67.4,Mechanical Engineering,9.35,No,Yes,No,Yes,2,Yes,Yes,1,1,466,Placed
Male,ICSE,84.4,Other state Board,87.6,Computer Science and Design,8.58,Yes,No,No,Yes,3,Yes,Yes,2,2,519,Placed
Male,WBBSE,86.6,WBCHSE,84.4,Computer Science and Design,7.13,No,No,No,Yes,3,Yes,No,1,1,583,Placed
Male,CBSE,96.4,CBSE,97,Electronics and Communication and Engineeing,8.91,No,Yes,Yes,No,3,Yes,No,0,1,648,Not Placed
Female,ICSE,76.1,Other state Board,60.4,Electronics and Communication Engineering,8.94,Yes,No,No,Yes,1,Yes,Yes,2,2,502,Placed
Male,CBSE,75.6,Other state Board,93.8,Electrical Engineering,8.99,Yes,No,No,Yes,4,Yes,Yes,1,2,531,Placed
Male,WBBSE,99.9,CBSE,86.9,Mechanical Engineering,7.6,No,Yes,No,Yes,4,Yes,No,1,2,439,Placed
Male,CBSE,75,CBSE,48,Information Technology,5.75,No,No,Yes,No,3,Yes,No,1,2,430,Not Placed
Female,State Board,79.6,WBCHSE,61.7,Computer Science in Data Science,7.92,No,Yes,Yes,Yes,4,Yes,Yes,1,2,631,Not Placed
Male,State Board,91.1,ISE,74.2,Chemical Engineering,8.37,No,No,No,Yes,2,Yes,Yes,0,3,686,Placed
Female,CBSE,86.4,ISE,85.1,Electronics and Communication Engineering,9.56,No,No,No,Yes,3,Yes,Yes,2,3,543,Not Placed
Female,State Board,70.4,ISE,87.2,Civil Engineering,9.35,No,No,No,Yes,1,Yes,Yes,1,1,650,Placed
Male,ICSE,86.7,Other state Board,93,Computer Science and Engineering,7.45,Yes,Yes,No,Yes,1,Yes,No,1,1,586,Placed
Female,CBSE,72.2,CBSE,74.8,Computer Science in AIML,8.02,Yes,Yes,No,Yes,2,Yes,Yes,1,1,485,Placed
Male,CBSE,75,CBSE,68,Computer Science and Engineering,8.2,Yes,No,Yes,Yes,4,Yes,No,1,1,586,Placed
Female,CBSE,95,CBSE,86.4,Information Technology,9.46,Yes,Yes,No,Yes,3,Yes,No,0,2,704,Not Placed
Female,State Board,88.1,ISE,60.2,Electrical and Electronics Engineering,8.61,No,No,No,Yes,2,Yes,Yes,2,3,546,Placed
Female,ICSE,94.3,ISE,72.3,Electrical Engineering,8.53,No,Yes,No,Yes,2,Yes,No,1,2,706,Placed
Male,WBBSE,85,WBCHSE,87,Information Technology,9.3,No,Yes,No,Yes,3,Yes,No,2,1,288,Placed
Male,ICSE,82.8,ISE,87.2,Electrical and Electronics Engineering,8.49,No,Yes,No,No,4,Yes,No,1,1,632,Not Placed
Male,WBBSE,64,WBCHSE,68,Computer Science and Design,7.5,No,Yes,No,Yes,4,Yes,Yes,1,3,559,Placed
Female,ICSE,94,ISE,87.2,Electronics and Communication Engineering,9.31,Yes,No,No,Yes,5,Yes,No,1,1,520,Placed
Female,WBBSE,71.8,WBCHSE,93.3,Mechanical Engineering,9.01,Yes,No,No,No,2,No,Yes,1,3,559,Not Placed
Male,State Board,76,CBSE,60.3,Chemical Engineering,7.84,No,No,Yes,Yes,1,Yes,No,1,2,351,Not Placed
Male,State Board,72.2,CBSE,77,Information Technology,8.27,Yes,Yes,Yes,Yes,3,Yes,No,1,1,528,Not Placed
Female,ICSE,96.5,ISE,86.8,Electrical Engineering,9.29,No,Yes,No,Yes,3,Yes,Yes,1,2,586,Placed
Female,WBBSE,86.9,Other state Board,87.4,Chemical Engineering,9.02,No,Yes,No,Yes,4,No,Yes,2,3,698,Not Placed
Female,ICSE,82.4,Other state Board,88.6,Computer Science and Engineering,9.26,Yes,No,No,No,1,No,Yes,2,3,498,Not Placed
Male,ICSE,74.9,Other state Board,81.5,Information Technology,7.32,Yes,No,No,Yes,5,Yes,Yes,0,2,469,Placed
Female,WBBSE,75,Other state Board,81.1,Computer Science and Engineering,8.84,Yes,No,Yes,No,2,Yes,Yes,1,3,500,Not Placed
Female,CBSE,87.4,CBSE,81.6,Information Technology,7.03,No,Yes,No,Yes,2,Yes,No,0,2,642,Not Placed
Female,CBSE,73.9,CBSE,63.9,Computer Science in Data Science,7.92,Yes,No,No,Yes,4,Yes,Yes,1,2,583,Placed
Male,WBBSE,82.1,ISE,72.1,Electronics and Communication Engineering,8.11,Yes,No,No,Yes,4,Yes,Yes,1,3,497,Placed
Male,ICSE,70.1,Other state Board,74.7,Electronics and Communication Engineering,8.46,Yes,Yes,No,No,1,No,Yes,1,2,601,Not Placed
Female,State Board,82.7,ISE,92.2,Computer Science and Design,9.38,Yes,No,No,Yes,2,Yes,Yes,1,1,560,Placed
Female,ICSE,81.9,WBCHSE,84.5,Computer Science and Engineering,8.34,Yes,Yes,Yes,No,1,No,No,1,1,647,Not Placed
Female,CBSE,88.7,ISE,65.9,Electrical Engineering,7.15,No,No,No,Yes,5,No,Yes,1,3,480,Not Placed
Female,CBSE,93.5,Other state Board,69.8,Computer Science and Design,8.8,Yes,No,Yes,Yes,3,Yes,No,1,3,517,Not Placed
Female,CBSE,98.9,CBSE,94.1,Electronics and Communication Engineering,9.3,Yes,No,No,No,5,Yes,Yes,2,2,511,Not Placed
Male,ICSE,77.4,ISE,67.1,Computer Science and Design,8.95,No,Yes,No,No,5,Yes,No,0,1,404,Not Placed
Male,State Board,94.6,CBSE,88.3,Electronics and Communication Engineering,7.44,Yes,No,No,Yes,1,Yes,No,1,1,580,Placed
Male,CBSE,82.3,ISE,65.9,Electrical and Electronics Engineering,7.78,No,Yes,No,Yes,4,Yes,Yes,2,2,576,Placed
Female,CBSE,85.6,WBCHSE,68.2,Computer Science and Engineering,9.2,Yes,Yes,No,No,4,Yes,No,1,3,551,Not Placed
Female,WBBSE,88.2,ISE,71.5,Electronics and Communication Engineering,9.1,Yes,Yes,No,Yes,5,Yes,Yes,0,1,527,Placed
Female,WBBSE,96.8,Other state Board,94.9,Information Technology,7.82,Yes,No,Yes,No,2,Yes,No,1,2,408,Not Placed
Female,CBSE,86.7,Other state Board,63.9,Electronics and Communication Engineering,7.29,Yes,Yes,No,Yes,2,No,No,1,1,508,Not Placed
Female,ICSE,72.6,WBCHSE,91.6,Computer Science and Design,8.84,Yes,Yes,No,No,2,Yes,No,1,1,516,Not Placed
Female,ICSE,94.7,Other state Board,87.3,Computer Science and Engineering,7.67,Yes,No,No,No,2,No,Yes,2,1,470,Not Placed
Male,ICSE,99.6,Other state Board,94,Electrical and Electronics Engineering,7.18,No,Yes,Yes,Yes,5,No,No,1,1,534,Not Placed
Female,WBBSE,81.4,ISE,68.1,Electronics and Communication Engineering,7.57,Yes,Yes,No,Yes,2,No,Yes,2,3,590,Not Placed
Male,ICSE,77.7,CBSE,79.2,Electrical Engineering,7.15,No,No,Yes,No,5,Yes,No,0,1,739,Not Placed
Male,WBBSE,80.2,Other state Board,91.8,Computer Science and Engineering,8.97,Yes,No,No,Yes,5,Yes,No,0,1,567,Placed
Female,WBBSE,89.6,WBCHSE,78,Civil Engineering,8.57,Yes,Yes,No,Yes,1,Yes,Yes,1,3,576,Placed
Female,CBSE,71.4,ISE,92.3,Computer Science and Engineering,7.42,No,No,Yes,Yes,4,Yes,Yes,2,3,543,Not Placed
Male,ICSE,87,CBSE,75,Computer Science and Engineering,9.47,Yes,Yes,No,Yes,3,No,No,1,1,358,Not Placed
Female,State Board,84.7,WBCHSE,84.4,Information Technology,7.25,No,Yes,No,No,1,No,Yes,1,3,547,Not Placed
Male,WBBSE,72,CBSE,64.4,Information Technology,8.33,Yes,Yes,No,Yes,5,Yes,Yes,1,1,556,Placed
Male,ICSE,74.8,ISE,83.9,Computer Science in AIML,9.17,Yes,Yes,No,Yes,2,Yes,Yes,2,3,796,Placed
Male,WBBSE,70,WBCHSE,78,Computer Science and Design,8.9,Yes,No,No,Yes,2,Yes,Yes,2,1,531,Placed
Female,WBBSE,75.9,WBCHSE,85.2,Computer Science and Design,8.43,No,Yes,No,Yes,1,Yes,No,1,1,580,Placed
Female,State Board,72.4,CBSE,67.6,Civil Engineering,8.12,No,No,No,Yes,4,Yes,Yes,1,3,547,Placed
Female,WBBSE,96.2,CBSE,60.1,Civil Engineering,7.49,No,Yes,No,Yes,1,Yes,No,1,2,433,Placed
Male,State Board,93,Other state Board,92,Computer Science and Engineering,90,Yes,No,No,No,3,Yes,No,1,2,664,Not Placed
Male,State Board,70,ISE,94.8,Computer Science in AIML,9.48,Yes,No,No,Yes,5,Yes,No,1,2,625,Placed
Female,ICSE,75.6,WBCHSE,68.9,Electrical and Electronics Engineering,8.95,No,No,Yes,Yes,3,No,Yes,2,3,629,Not Placed
Male,WBBSE,60,WBCHSE,69,Computer Science and Design,9,No,No,No,No,3,No,No,1,1,459,Placed
Male,CBSE,85.3,Other state Board,72.8,Mechanical Engineering,8.85,Yes,Yes,No,Yes,2,Yes,Yes,1,3,690,Placed
Female,ICSE,89.2,CBSE,82.7,Computer Science and Design,9.37,Yes,No,No,Yes,1,Yes,No,1,1,410,Placed
Female,WBBSE,94.9,WBCHSE,84.7,Electrical Engineering,8.59,No,No,No,Yes,3,No,No,2,1,609,Not Placed
Male,CBSE,87,CBSE,87.8,Electrical Engineering,8.15,Yes,No,Yes,Yes,4,Yes,No,1,2,769,Not Placed
Female,CBSE,98.7,CBSE,60.9,Electronics and Communication Engineering,7.19,Yes,No,No,Yes,4,No,No,1,1,451,Not Placed
Male,CBSE,84.6,ISE,79.1,Electrical Engineering,9.44,No,No,No,Yes,1,Yes,No,0,1,493,Placed
Male,State Board,80.4,CBSE,65.6,Mechanical Engineering,7.97,No,No,No,Yes,4,Yes,No,1,1,560,Placed
Male,State Board,80.3,WBCHSE,74.9,Mechanical Engineering,9.12,Yes,No,Yes,Yes,4,Yes,Yes,1,2,500,Not Placed
Female,ICSE,95.4,Other state Board,65.8,Civil Engineering,7.42,No,Yes,Yes,Yes,4,Yes,Yes,1,3,395,Not Placed
Female,State Board,87.5,Other state Board,78.9,Civil Engineering,8.46,No,No,No,No,4,Yes,No,1,1,557,Not Placed
Male,ICSE,91.8,WBCHSE,89.5,Information Technology,8.47,Yes,No,No,Yes,2,Yes,Yes,1,1,444,Placed
